FirstName,FamilyName,Sail Number
John,Montgomery,1
Bob,Quinton,2
Jean,YvesSalaun,3
Kevin,Hall,5
Mike,Hodge,6
Jean,YvesSalaun,7
Marie,Elphage,8
Mike,Pearce,9
Fred,Ball,10
Tony,Morris,11
John,Peperell,13
,,15
Robin,Ball,16
James,Paine,17
Alan,Blundell,18
TL,Watford,27
Keith,Dunstan,30
,,32
Chris,Evans,33
Stacey,Vass,47
Sean,Carroll,71
,,92
Neils,Haarbosch,98
Philip,Middleton,99
Harvey,Bowden,100
Torix,Bennett,101
Nick,Povey,111
,L'erborgne,112
John,Lindley,138
Sean,Carroll,171
Phil,Hayward,333
Bob,Date,458
,,470
JeanBernard,Cunin,584
Bob,Spagnoletti,639
Steve,Meech,711
,,733
Steve,Cole,905
Neils,Haarbosch,998
