Sail Number,Finish Time,Speed,Course Length,First Name,Last Name,Craft
4,07/10/2008 11:36,27.75,524,ian,richards,Sailboard
4,07/10/2008 14:49,27.09,590,ian,richards,Sailboard
4,07/10/2008 14:22,26.81,590,ian,richards,Sailboard
4,07/10/2008 11:57,26.75,524,ian,richards,Sailboard
4,07/10/2008 14:13,26.69,590,ian,richards,Sailboard
4,07/10/2008 11:46,26.25,524,ian,richards,Sailboard
4,07/10/2008 15:57,26.11,590,ian,richards,Sailboard
4,07/10/2008 14:28,25.73,590,ian,richards,Sailboard
4,07/10/2008 14:41,25.31,590,ian,richards,Sailboard
4,07/10/2008 11:46,24.89,524,ian,richards,Sailboard
4,07/10/2008 16:01,24.69,590,ian,richards,Sailboard
4,07/10/2008 11:42,24.50,524,ian,richards,Sailboard
4,07/10/2008 14:32,24.44,590,ian,richards,Sailboard
4,07/10/2008 14:18,24.44,590,ian,richards,Sailboard
4,07/10/2008 15:52,24.24,590,ian,richards,Sailboard
4,07/10/2008 16:31,22.70,590,ian,richards,Sailboard
4,07/10/2008 16:25,21.96,590,ian,richards,Sailboard
4,07/10/2008 16:18,20.72,590,ian,richards,Sailboard
4,07/10/2008 15:00,1.60,590,ian,richards,Sailboard
9,07/10/2008 10:49,22.01,524,Nicholas,Dodd,Sailboard
9,07/10/2008 10:57,21.56,524,Nicholas,Dodd,Sailboard
10,07/10/2008 10:41,33.27,524,Anders,Bringdal,Sailboard
10,07/10/2008 10:37,32.40,524,Anders,Bringdal,Sailboard
10,07/10/2008 10:46,31.90,524,Anders,Bringdal,Sailboard
10,07/10/2008 13:50,31.53,590,Anders,Bringdal,Sailboard
10,07/10/2008 11:18,31.06,524,Anders,Bringdal,Sailboard
10,07/10/2008 14:39,31.03,590,Anders,Bringdal,Sailboard
10,07/10/2008 10:56,30.88,524,Anders,Bringdal,Sailboard
10,07/10/2008 11:23,30.71,524,Anders,Bringdal,Sailboard
10,07/10/2008 10:51,30.48,524,Anders,Bringdal,Sailboard
10,07/10/2008 14:06,30.23,590,Anders,Bringdal,Sailboard
10,07/10/2008 11:32,29.93,524,Anders,Bringdal,Sailboard
10,07/10/2008 13:59,29.69,590,Anders,Bringdal,Sailboard
10,07/10/2008 14:14,29.59,590,Anders,Bringdal,Sailboard
10,07/10/2008 13:55,28.70,590,Anders,Bringdal,Sailboard
10,07/10/2008 14:22,28.42,590,Anders,Bringdal,Sailboard
10,07/10/2008 14:43,27.91,590,Anders,Bringdal,Sailboard
10,07/10/2008 14:47,27.66,590,Anders,Bringdal,Sailboard
13,07/10/2008 14:40,23.40,590,Robert,Munn,Sailboard
13,07/10/2008 14:47,23.04,590,Robert,Munn,Sailboard
13,07/10/2008 14:56,22.80,590,Robert,Munn,Sailboard
13,07/10/2008 16:01,18.97,590,Robert,Munn,Sailboard
13,07/10/2008 16:23,16.30,590,Robert,Munn,Sailboard
13,07/10/2008 16:31,2.28,590,Robert,Munn,Sailboard
14,07/10/2008 10:43,27.90,524,Ian,Hill,Sailboard
14,07/10/2008 11:54,27.89,524,Ian,Hill,Sailboard
14,07/10/2008 13:50,27.72,590,Ian,Hill,Sailboard
14,07/10/2008 14:43,27.10,590,Ian,Hill,Sailboard
14,07/10/2008 11:48,27.04,524,Ian,Hill,Sailboard
14,07/10/2008 10:50,27.01,524,Ian,Hill,Sailboard
14,07/10/2008 11:39,26.42,524,Ian,Hill,Sailboard
14,07/10/2008 14:56,26.39,590,Ian,Hill,Sailboard
14,07/10/2008 14:50,26.26,590,Ian,Hill,Sailboard
14,07/10/2008 14:46,26.03,590,Ian,Hill,Sailboard
14,07/10/2008 15:01,25.89,590,Ian,Hill,Sailboard
14,07/10/2008 11:02,25.02,524,Ian,Hill,Sailboard
14,07/10/2008 15:58,24.32,590,Ian,Hill,Sailboard
14,07/10/2008 15:53,24.32,590,Ian,Hill,Sailboard
14,07/10/2008 14:34,23.67,590,Ian,Hill,Sailboard
14,07/10/2008 16:02,4.48,590,Ian,Hill,Sailboard
14,07/10/2008 14:38,4.38,590,Ian,Hill,Sailboard
14,07/10/2008 16:17,2.90,590,Ian,Hill,Sailboard
15,07/10/2008 14:04,26.96,590,Thorsten,Niehaus,Sailboard
15,07/10/2008 14:13,26.79,590,Thorsten,Niehaus,Sailboard
