Sail Number,Title,First Name,Last Name,Craft Type,Age Status,Novice,Professional,Time,Speed (kts)
52,Mr,Patrick,Van Hoof,Sailboard,Master,Yes,Gold Fleet,GPS,30.13
521,Mr,dan,ellis,Sailboard,Neither,No,Professional,GPS,30.09
10,Mr,Anders,Bringdal,Sailboard,Neither,No,Professional,GPS,29.66
68,Mr,MARTYN,OGIER,Sailboard,Neither,No,Professional,GPS,28.84
77,Mr,Anthony,Baker,Sailboard,Neither,No,Professional,GPS,28.27
63,Mr,Dave,White,Sailboard,Neither,No,Professional,GPS,27.83
47,Mrs,Zara,Davis,Sailboard,Neither,No,Gold Fleet,GPS,27.3
951,Mr,Fred,Willis,Sailboard,Neither,No,Professional,GPS,27.28
131,Mr,Paul,Simmons,Sailboard,Neither,No,Professional,GPS,26.95
73,Mr,Pete,Davis,Sailboard,Neither,No,Professional,GPS,26.65
15,Mr,Thorsten,Niehaus,Sailboard,Neither,No,Professional,GPS,25.87
2,Mr,Will,Oscroft,Sailboard,Neither,No,Neither,11/10/2009 14:14,26.24
2,Mr,Will,Oscroft,Sailboard,Neither,No,Neither,11/10/2009 10:50,25.66
2,Mr,Will,Oscroft,Sailboard,Neither,No,Neither,11/10/2009 14:23,25.46
2,Mr,Will,Oscroft,Sailboard,Neither,No,Neither,11/10/2009 14:34,24.36
2,Mr,Will,Oscroft,Sailboard,Neither,No,Neither,11/10/2009 14:54,23.86
2,Mr,Will,Oscroft,Sailboard,Neither,No,Neither,11/10/2009 13:12,23.71
2,Mr,Will,Oscroft,Sailboard,Neither,No,Neither,11/10/2009 11:02,23.07
2,Mr,Will,Oscroft,Sailboard,Neither,No,Neither,11/10/2009 13:48,6.92
3,Mr,John,McIntyre,Sailboard,Master,No,Neither,11/10/2009 14:23,25.49
3,Mr,John,McIntyre,Sailboard,Master,No,Neither,11/10/2009 14:17,25.34
3,Mr,John,McIntyre,Sailboard,Master,No,Neither,11/10/2009 10:46,25.24
3,Mr,John,McIntyre,Sailboard,Master,No,Neither,11/10/2009 11:35,25.15
3,Mr,John,McIntyre,Sailboard,Master,No,Neither,11/10/2009 10:30,25.05
3,Mr,John,McIntyre,Sailboard,Master,No,Neither,11/10/2009 14:58,24.89
3,Mr,John,McIntyre,Sailboard,Master,No,Neither,11/10/2009 13:25,24.89
