Place,HelmName,Fleet,Age,Tally
1,Henry Bloodworth,Male Sailboard,Adult,107
2,Scotty Stallman,Male Sailboard,Adult,96
3,Simon Pettifer,Male Sailboard,Adult,7
4,Jim Crossley,Male Sailboard,Adult,82
5,Ben Robbins,Male Sailboard,Adult,67
6,Sam Latham,Male Sailboard,Adult,108
7,Michael George,Male Sailboard,Adult,39
8,John Oliver,Male Sailboard,Adult,35
9,Garry Connell,Male Sailboard,Adult,41
10,Will Trossell,Male Sailboard,Adult,36
11,Scott Harrison,Male Sailboard,Adult,32
12,Scott Norman,Male Sailboard,Youth,81
13,Richard Crosby,Male Sailboard,Adult,11
14,Tim Bate,Male Sailboard,Adult,31
15,George Fulton,Male Sailboard,Adult,52
16,Jonathan Ingram,Male Sailboard,Adult,74
17,Iain Neary,Male Sailboard,Adult,75
18,Nick Deakin,Male Sailboard,Adult,80
19,Mark Ingram,Male Sailboard,Adult,50
20,Andrew Twinn,Male Sailboard,Adult,25
21,Russell Thompson,Male Sailboard,Adult,94
22,Maciej Bukolt,Male Sailboard,Adult,91
23,Simon Ramsden,Male Sailboard,Adult,24
24,Andy Stuart-William,Male Sailboard,Adult,22
25,Joe Trunkfield,Male Sailboard,Adult,71
26,Chris Cleland,Male Sailboard,Adult,9
27,Trevor Whatford,Male Sailboard,Adult,62
28,Garry Goodwin,Male Sailboard,Adult,42
29,Simon Barker,Male Sailboard,Adult,44
30,Nic Dodd,Male Sailboard,Adult,27
31,Eddie Marsh,Male Sailboard,Adult,20
32,Stuart Trunkfield,Male Sailboard,Adult,73
