Entrant ID,Tally,Motion ID,Start Date,End Date,File ID,First Name,Family Name,Craft Type,Class,Status,Entry Type
1013,1,0,2025-10-11,2025-10-17,GEO0MIC,Michael,George,Sailboard,,Pro Fleet,All Week
2013,1,0,2025-10-11,2025-10-17,GEO0MIC,Michael,George,Sailboard,Foil,Foil Fleet,All Week
1014,2,0,2025-10-11,2025-10-17,PET0SIM,Simon,Pettifer,Sailboard,,Pro Fleet,All Week
2014,2,0,2025-10-11,2025-10-17,PET0SIM,Simon,Pettifer,Sailboard,Foil,Foil Fleet,All Week
1015,3,0,2025-10-11,2025-10-17,GIB0JEN,Jenna,Gibson,Sailboard,,Pro Fleet,All Week
2015,3,0,2025-10-11,2025-10-17,GIB0JEN,Jenna,Gibson,Sailboard,Foil,Foil Fleet,All Week
3016,4,0,2025-10-11,2025-10-17,VAS0STA,Stacey,Vass,Kiteboard,,Open Class,All Week
3017,5,0,2025-10-11,2025-10-17,EIF0AYA,Aya,Eiffel,Kiteboard,,Open Class,All Week
1018,6,0,2025-10-11,2025-10-12,CHI0DYL,Dylan,CHICK,Sailboard,,Amateur,Youth W/E
2018,6,0,2025-10-11,2025-10-12,CHI0DYL,Dylan,CHICK,Sailboard,Foil,Foil Fleet,Youth W/E
1019,7,0,2025-10-11,2025-10-17,HEN0RIC,Richard,Henderson,Sailboard,,Amateur,All Week
4020,8,0,2025-10-11,2025-10-17,DIC0ROD,Rod,Dickinson,Wingboard,,Open Class,All Week
1021,9,0,2025-10-11,2025-10-17,DEB0JEA,Jean-Marc,De Bruyne,Sailboard,,Pro Fleet,All Week
1022,10,0,2025-10-13,2025-10-17,DUD0RIC,Richard,Dudley,Sailboard,,Amateur,Weekdays
2022,10,0,2025-10-13,2025-10-17,DUD0RIC,Richard,Dudley,Sailboard,Foil,Foil Fleet,Weekdays
1023,11,0,2025-10-11,2025-10-17,MEY0BEN,Ben,Meyerhoff,Sailboard,,Amateur,All Week
4024,12,0,2025-10-11,2025-10-17,MIL0JEZ,Jez,Milne,Wingboard,,Freeride,All Week
1025,13,0,2025-10-13,2025-10-17,REE0MAR,Mark,Reeves,Sailboard,,Amateur,Weekdays
1026,14,0,2025-10-11,2025-10-17,LON0ROB,Rob,Longstaff,Sailboard,,Amateur,All Week
2026,14,0,2025-10-11,2025-10-17,LON0ROB,Rob,Longstaff,Sailboard,Foil,Foil Fleet,All Week
4027,15,0,2025-10-11,2025-10-17,ROG0KAT,Kate,Rogers,Wingboard,,Freeride,All Week
1028,16,0,2025-10-11,2025-10-17,SMI0BAR,Barry,Smith,Sailboard,,Amateur,All Week
1029,17,0,2025-10-11,2025-10-17,CRO0RIC,Richard,Crosby,Sailboard,,Gold Fleet,All Week
1030,18,0,2025-10-11,2025-10-17,CRO0PET,Peter,Crosby,Sailboard,,Gold Fleet,All Week
2030,18,0,2025-10-11,2025-10-17,CRO0PET,Peter,Crosby,Sailboard,Foil,Foil Fleet,All Week
1031,19,0,2025-10-11,2025-10-17,BAR0SIM,Simon,Barker,Sailboard,,Amateur,All Week
1032,20,0,2025-10-11,2025-10-17,MAY0SCO,Scott,Mayhew,Sailboard,,Amateur,All Week
1033,21,0,2025-10-13,2025-10-17,ILI0NIK,Nikolaos,Iliadis,Sailboard,,Amateur,Weekdays
2033,21,0,2025-10-13,2025-10-17,ILI0NIK,Nikolaos,Iliadis,Sailboard,Foil,Foil Fleet,Weekdays
1034,22,0,2025-10-11,2025-10-17,ING0MAR,Mark,Ingram,Sailboard,,Pro Fleet,All Week
2034,22,0,2025-10-11,2025-10-17,ING0MAR,Mark,Ingram,Sailboard,Foil,Foil Fleet,All Week
1035,23,0,2025-10-11,2025-10-17,ING0JON,Jonathan,Ingram,Sailboard,,Pro Fleet,All Week
1036,24,0,2025-10-11,2025-10-17,SAL0SAV,Sav,Salvage,Sailboard,,Amateur,All Week
2036,24,0,2025-10-11,2025-10-17,SAL0SAV,Sav,Salvage,Sailboard,Foil,Foil Fleet,All Week
1037,25,0,2025-10-11,2025-10-17,OWE0AND,Andrew,Owen,Sailboard,,Amateur,All Week
1038,26,0,2025-10-11,2025-10-17,LIL0MAT,Matthew,Lilley,Sailboard,,Amateur,All Week
4039,27,0,2025-10-11,2025-10-17,GOR0DEN,Denis,Gordo,Wingboard,,Open Class,All Week
1040,28,0,2025-10-11,2025-10-17,HAR0SCO,Scott,Harrison,Sailboard,,Gold Fleet,All Week
1041,29,0,2025-10-11,2025-10-17,HAR0SIA,Sian,Harrison,Sailboard,,Amateur,All Week
1042,30,0,2025-10-11,2025-10-17,MEY0NEI,Neil,Meyerhoff,Sailboard,,Amateur,All Week
1043,31,0,2025-10-11,2025-10-17,WAT0STE,Steve,Watson,Sailboard,,Amateur,All Week
1044,32,0,2025-10-11,2025-10-17,LOR0BRE,Brendan,Lorho,Sailboard,,Pro Fleet,All Week
2044,32,0,2025-10-11,2025-10-17,LOR0BRE,Brendan,Lorho,Sailboard,Foil,Foil Fleet,All Week
1045,33,0,2025-10-11,2025-10-17,LOR0FRA,Francois,Lorho,Sailboard,,Amateur,All Week
1046,34,0,2025-10-11,2025-10-17,DIC0FIN,Fin,Dickinson,Sailboard,,Gold Fleet,All Week
2046,34,0,2025-10-11,2025-10-17,DIC0FIN,Fin,Dickinson,Sailboard,Foil,Foil Fleet,All Week
1047,35,0,2025-10-11,2025-10-17,FUL0GEO,George,Fulton,Sailboard,,Gold Fleet,All Week
1048,36,0,2025-10-11,2025-10-17,SPA0BOB,Bob,Spagnoletti,Sailboard,,Gold Fleet,All Week
1049,37,0,2025-10-13,2025-10-17,ARN0PAU,Paul,Arnold,Sailboard,,Gold Fleet,Weekdays
1050,38,0,2025-10-11,2025-10-17,THO0STE,Steve,Thompson,Sailboard,,Amateur,All Week
1051,39,0,2025-10-13,2025-10-17,WAT0JOE,Joey,Watts,Sailboard,,Amateur,Weekdays
1052,40,0,2025-10-11,2025-10-17,DAF0CHR,Christine,DAFFE,Sailboard,,Amateur,All Week
1053,41,0,2025-10-11,2025-10-17,WIL0JON,Jonathan,Wills,Sailboard,,Amateur,All Week
4054,42,0,2025-10-11,2025-10-17,SHE0IAN,Ian,Shellcock,Wingboard,,Open Class,All Week
3055,43,0,2025-10-11,2025-10-17,BUR0EMI,Emile,Burnaby Lautier,Kiteboard,,Open Class,All Week
1056,44,0,2025-10-11,2025-10-17,DVO0PAV,Pavel,Dvoulety,Sailboard,,Gold Fleet,All Week
2056,44,0,2025-10-11,2025-10-17,DVO0PAV,Pavel,Dvoulety,Sailboard,Foil,Foil Fleet,All Week
57,45,0,2025-10-11,2025-10-17,RUS0ROB,Robin,Russell,Boat,,Boat Fleet,All Week
1057,45,0,2025-10-11,2025-10-17,RUS0ROB,Robin,Russell,Sailboard,,Gold Fleet,All Week
1058,46,0,2025-10-11,2025-10-17,BRA0JAM,James,Brake,Sailboard,,Gold Fleet,All Week
1059,47,0,2025-10-11,2025-10-17,OLI0JOH,John,Oliver,Sailboard,,Pro Fleet,All Week
1060,48,0,2025-10-11,2025-10-17,BAR0ANT,Anthony,Barber,Sailboard,,Gold Fleet,All Week
61,49,0,2025-10-11,2025-10-17,MAR0PET,Peter,Martin,Boat,,Boat Fleet,All Week
1062,50,0,2025-10-11,2025-10-17,BAT0TIM,Tim,Bate,Sailboard,,Gold Fleet,All Week
2062,50,0,2025-10-11,2025-10-17,BAT0TIM,Tim,Bate,Sailboard,Foil,Foil Fleet,All Week
4063,51,0,2025-10-11,2025-10-12,BER0FIN,Fin,Bernie,Wingboard,,Open Class,Youth W/E
4064,52,0,2025-10-11,2025-10-17,COL0AND,Andrew,Collenette,Wingboard,,Open Class,All Week
4065,53,0,2025-10-11,2025-10-17,COL0ANN,Anna,Collenette,Wingboard,,Open Class,All Week
4066,54,0,2025-10-11,2025-10-12,BER0ARL,Arlo,Bernie,Wingboard,,Open Class,Youth W/E
1067,55,0,2025-10-11,2025-10-17,CON0GAR,Garry,Connell,Sailboard,,Pro Fleet,All Week
2067,55,0,2025-10-11,2025-10-17,CON0GAR,Garry,Connell,Sailboard,Foil,Foil Fleet,All Week
1068,56,0,2025-10-11,2025-10-17,DIN0JAM,James,Dinsmore,Sailboard,,Pro Fleet,All Week
2068,56,0,2025-10-11,2025-10-17,DIN0JAM,James,Dinsmore,Sailboard,Foil,Foil Fleet,All Week
1069,57,0,2025-10-11,2025-10-17,TRO0WIL,Will,Trossell,Sailboard,,Pro Fleet,All Week
3070,58,0,2025-10-11,2025-10-17,WIL0DAV,Dave,Williams,Kiteboard,,Open Class,All Week
4070,58,0,2025-10-11,2025-10-17,WIL0DAV,Dave,Williams,Wingboard,,Open Class,All Week
1071,59,0,2025-10-11,2025-10-17,PAL0MAR,Mark,Palmer,Sailboard,,Gold Fleet,All Week
4072,60,0,2025-10-11,2025-10-17,SAN0SIM,Simon,Sanderson,Wingboard,,Open Class,All Week
1073,61,0,2025-10-11,2025-10-17,NEW0MAR,Mark,NEWMAN,Sailboard,,Pro Fleet,All Week
2073,61,0,2025-10-11,2025-10-17,NEW0MAR,Mark,NEWMAN,Sailboard,Foil,Foil Fleet,All Week
1075,63,0,2025-10-11,2025-10-17,MAR0EDD,Eddie,Marsh,Sailboard,,Gold Fleet,All Week
1076,64,0,2025-10-11,2025-10-17,STU0AND,Andy,Stuart-William,Sailboard,,Gold Fleet,All Week
3077,65,0,2025-10-11,2025-10-17,LON0JAM,James,Longmuir,Kiteboard,,Open Class,All Week
1078,66,0,2025-10-11,2025-10-17,THO0RUS,Russell,Thompson,Sailboard,,Amateur,All Week
1079,67,0,2025-10-13,2025-10-17,KIR0JON,Jonny,Kirton,Sailboard,,Amateur,Weekdays
1080,68,0,2025-10-11,2025-10-17,CRO0JIM,Jim,Crossley,Sailboard,,Pro Fleet,All Week
1081,69,0,2025-10-11,2025-10-12,CRO0GEO,George,Crossley,Sailboard,,Amateur,Youth W/E
1082,70,0,2025-10-11,2025-10-12,CRO0JAC,Jack,Crossley,Sailboard,,Amateur,Youth W/E
1083,71,0,2025-10-11,2025-10-17,NOR0SCO,Scott,Norman,Sailboard,,Gold Fleet,All Week
2083,71,0,2025-10-11,2025-10-17,NOR0SCO,Scott,Norman,Sailboard,Foil,Foil Fleet,All Week
3084,72,0,2025-10-11,2025-10-17,CAM0SBA,Sébastien,Camaret,Kiteboard,,Open Class,All Week
1085,73,0,2025-10-11,2025-10-17,HIL0IAN,Ian,Hill,Sailboard,,Gold Fleet,All Week
1086,74,0,2025-10-11,2025-10-17,TWI0AND,Andrew,Twinn,Sailboard,,Gold Fleet,All Week
2086,74,0,2025-10-11,2025-10-17,TWI0AND,Andrew,Twinn,Sailboard,Foil,Foil Fleet,All Week
1087,75,0,2025-10-13,2025-10-17,HUM0TIM,Tim,Humphreys,Sailboard,,Gold Fleet,Weekdays
1088,76,0,2025-10-11,2025-10-17,GOO0GAR,Garry,Goodwin,Sailboard,,Gold Fleet,All Week
1001,1001,621,2025-10-11,2025-10-17,BUOY_621,Weymouth,Speed Week,Buoy,,,All Week
1002,1002,754,2025-10-11,2025-10-17,BUOY_754,Weymouth,Speed Week,Buoy,,,All Week
